	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
33	BDPN(p)	0.2533923040535878	0.0659596591048901	8.55387924810798	0.8350433288383159	0.3138860695795673	3.841625434277023	15.16078181073956	0.1169060225185185	-0.02823369473427695	-0.07474205966766047	-0.04117054089707322	0.0	-0.0013032075554503253	0.05026529674166265	0.08077970089164031	0.04293833539031209
34	BDPN(psi)	0.2693312464251479	0.1904372270443411	51.06755773642182	0.2457871264497915	0.0504191468201467	1.414278345706206	5.251074149316202	0.0195819037432994	0.02518110118628789	0.0	0.3322208757802205	-0.02158119938105041	-0.012858941402449003	0.025181101186287764	0.0	-0.24937372009401798
34	BDPN(p)	0.2595107899878847	0.179497855427174	50.9351868297377	0.2673683258308419	0.0510004082708241	1.4457598357946595	5.571097201246064	0.0196327934035605	-0.01219943478246935	-0.05744345150866954	0.328767660215444	0.0	-0.012277679951771599	0.04800138177239128	0.060944302599790126	-0.24742298451344194
34	BDPN(lambda)	0.2627157739383718	0.1819823985772556	50.04791589518765	0.2629452343524839	0.0509970981297642	1.443632878741529	5.495036925647936	0.019980851991804	0.0	-0.04439693120041544	0.30562104984528404	-0.00442309147835801	-0.012280990092831505	0.046459594626654034	0.0464595946266542	-0.2340809761618818
35	BDPN(p)	0.5232845413185278	0.1176399078458908	11.66152782382492	0.4134485927598641	0.2847177440682633	4.448188976856684	8.500516689540486	0.0857520571152747	0.0267143153661689	-0.26563772121643675	0.16981000273896452	0.0	-0.02705274696937854	0.3981032863873034	0.3617257161634898	-0.1451603271825135
35	BDPN(psi)	0.5334799248394285	0.1601932877608526	12.226343334735366	0.3608081370382892	0.2708707912180231	3.3302264551548704	6.242458806968663	0.0817906035043996	0.04671824321999279	0.0	0.22646868797704023	-0.05264045572157494	-0.04089969981961872	0.046718243219992565	0.0	-0.1846510148991924
35	BDPN(lambda)	0.5096690807626489	0.0559483437214346	11.222430093070257	0.9	0.2997474358468048	9.109636619455234	17.873630093126167	0.0891072603443964	0.0	-0.6507447690008206	0.12576252239360539	0.4865514072401359	-0.012023055190837018	1.863235568839196	1.8632355688391957	-0.11171318985305032
36	BDPN(p)	0.3022834888175703	0.056444948898576	4.254960534838322	0.5693999057317142	0.7797411913658936	5.355368278581184	17.716377098628687	0.2350198061327019	0.021519647379097166	-0.05792933746777535	0.0925293583209161	0.0	-0.10469905289326309	0.0843344220414616	0.06149149928102446	-0.08469278890877811
36	BDPN(psi)	0.2764529670750046	0.0599158334331903	4.265718246594107	0.9	0.8002402069726445	4.614021890945836	16.690079110975873	0.234427109853876	-0.06577055019437372	0.0	0.09529157334625372	0.33060009426828585	-0.08420003728651215	-0.06577055019437342	0.0	-0.08700110150133455
36	BDPN(lambda)	0.295915491780443	0.05	4.259100797928516	0.9	0.7930881735864446	5.91830983560886	20.0	0.2347913438644998	0.0	-0.16549604445120564	0.09359243727080861	0.33060009426828585	-0.09135207067271212	0.19831666866380693	0.1983166686638069	-0.08558255715847862
37	BDPN(p)	0.2010587804763642	0.0854220127744952	8.352145220549865	0.4224611072120503	0.4436058060889896	2.353711577917714	11.706584374684434	0.1197297189636466	-0.003931020422366173	-0.06692900472649888	0.07703409086091632	0.0	-0.04140721680225151	0.06751681771617773	0.07172980948451961	-0.07152428276373347
37	BDPN(psi)	0.192193071188795	0.0915493174765939	8.447608700428866	0.5242842572574989	0.4544163685405324	2.0993392030249947	10.923074333740017	0.1183766951645419	-0.04785279286313317	0.0	0.08934439193290011	0.10182315004544862	-0.030596654350708685	-0.04785279286313319	0.0	-0.08201666304479732
37	BDPN(lambda)	0.201852265855744	0.0523680587470612	8.269228016386164	0.9	0.479193811602136	3.854492045059267	19.09560949795789	0.1209302728160859	0.0	-0.4279798015921859	0.06634166954340222	0.4775388927879497	-0.0058192112891051195	0.7481900163376103	0.7481900163376103	-0.062214270939828786
38	BDPN(p)	0.4251544339436236	0.1384054478405668	66.8576616469159	0.5149061498189069	0.2679830525328104	3.071804185290244	7.225149122395303	0.0149571488946342	0.014982484961821061	-0.05512847296176188	0.018201818394446703	0.0	0.013077125091914887	0.07420157758732601	0.05834494043287132	-0.017876434775134023
